data;mês;dia_mes;dia_semana;setor;turno;carro;tempo_coleta;horas_coleta;tempo_trajeto;horas_trajeto;tempo_aterro;horas_aterro;km_coleta;km_trajeto;producao;producao_ton;viagens;ton/h;ton/km
08/04/2021;abr;8;qui;9;DIURNO;33024;06:25:00;6,42;01:01:00;1,02;00:14:00;0,23;32;18;12.350;12,35;1;1,925;0,386
08/04/2021;abr;8;qui;13;DIURNO;32049;05:15:00;5,25;01:27:00;1,45;00:19:00;0,32;40;28;9.530;9,53;1;1,815;0,238
08/04/2021;abr;8;qui;14;DIURNO;32048;04:30:00;4,5;01:35:00;1,58;00:10:00;0,17;36;52;8.280;8,28;1;1,84;0,23
08/04/2021;abr;8;qui;16;DIURNO;31912;06:22:00;6,37;01:33:00;1,55;00:25:00;0,42;31;35;16.030;16,03;2;2,518;0,517
08/04/2021;abr;8;qui;18;DIURNO;32051;05:53:00;5,88;01:46:00;1,77;00:14:00;0,23;57;51;8.100;8,1;1;1,377;0,142
08/04/2021;abr;8;qui;20;DIURNO;33049;05:45:00;5,75;02:00:00;2;00:45:00;0,75;41;54;12.140;12,14;2;2,111;0,296
08/04/2021;abr;8;qui;20;DIURNO;33048;01:19:00;1,32;01:28:00;1,47;00:11:00;0,18;10;25;4.760;4,76;1;3,615;0,476
08/04/2021;abr;8;qui;3;NOTURNO;32048;05:53:00;5,88;01:28:00;1,47;00:40:00;0,67;43;24;14.090;14,09;2;2,395;0,328
08/04/2021;abr;8;qui;4;NOTURNO;33024;05:43:00;5,72;00:42:00;0,7;00:10:00;0,17;46;17;9.360;9,36;1;1,637;0,203
08/04/2021;abr;8;qui;5;NOTURNO;33048;05:06:00;5,1;00:44:00;0,73;00:15:00;0,25;33;21;10.170;10,17;1;1,994;0,308
08/04/2021;abr;8;qui;7;NOTURNO;31912;05:22:00;5,37;00:54:00;0,9;00:11:00;0,18;35;11;11.430;11,43;1;2,13;0,327
08/04/2021;abr;8;qui;21;NOTURNO;33049;06:13:00;6,22;00:40:00;0,67;00:13:00;0,22;48;14;10.140;10,14;1;1,631;0,211
09/04/2021;abr;9;sex;8;DIURNO;31912;05:50:00;5,83;01:01:00;1,02;00:10:00;0,17;34;24;12.160;12,16;1;2,085;0,358
09/04/2021;abr;9;sex;10;DIURNO;33048;05:25:00;5,42;00:46:00;0,77;00:09:00;0,15;37;17;13.020;13,02;1;2,404;0,352
09/04/2021;abr;9;sex;12;DIURNO;32049;06:07:00;6,12;01:28:00;1,47;00:31:00;0,52;38;50;13.060;13,06;2;2,135;0,344
09/04/2021;abr;9;sex;22;0;32050;05:53:00;5,88;02:00:00;;00:19:00;;63;33;6.240;6,24;2;1,061;0,099
09/04/2021;abr;9;sex;15;DIURNO;32048;05:45:00;5,75;01:20:00;1,33;00:15:00;0,25;39;19;12.810;12,81;2;2,228;0,328
09/04/2021;abr;9;sex;17;DIURNO;33049;08:00:00;8;00:45:00;0,75;00:25:00;0,42;58;10;15.890;15,89;2;1,986;0,274
09/04/2021;abr;9;sex;19;DIURNO;33024;06:39:00;6,65;00:36:00;0,6;00:19:00;0,32;48;19;9.740;9,74;1;1,465;0,203
09/04/2021;abr;9;sex;1;NOTURNO;32048;05:54:00;5,9;00:59:00;0,98;00:17:00;0,28;36;30;13.270;13,27;2;2,249;0,369
09/04/2021;abr;9;sex;2;NOTURNO;33024;05:00:00;5;00:30:00;0,5;00:10:00;0,17;39;17;10.030;10,03;1;2,006;0,257
09/04/2021;abr;9;sex;6;NOTURNO;33048;05:56:00;5,93;00:45:00;0,75;00:11:00;0,18;41;18;10.620;10,62;1;1,79;0,259
09/04/2021;abr;9;sex;11;NOTURNO;31912;05:25:00;5,42;00:30:00;0,5;00:07:00;0,12;38;12;10.280;10,28;1;1,898;0,271
09/04/2021;abr;9;sex;21;NOTURNO;33049;06:21:00;6,35;00:35:00;0,58;00:12:00;0,2;46;13;10.280;10,28;1;1,619;0,223
10/04/2021;abr;10;sáb;9;DIURNO;33048;05:20:00;5,33;00:37:00;0,62;00:28:00;0,47;32;12;12.600;12,6;1;2,363;0,394
10/04/2021;abr;10;sáb;13;DIURNO;32049;05:24:00;5,4;01:56:00;1,93;00:23:00;0,38;39;58;12.070;12,07;2;2,235;0,309
10/04/2021;abr;10;sáb;14;DIURNO;32048;04:50:00;4,83;00:52:00;0,87;00:20:00;0,33;37;38;9.270;9,27;1;1,918;0,251
10/04/2021;abr;10;sáb;16;DIURNO;31912;05:48:00;5,8;01:54:00;1,9;00:29:00;0,48;29;53;13.970;13,97;2;2,409;0,482
10/04/2021;abr;10;sáb;18;DIURNO;33024;07:22:00;7,37;01:08:00;1,13;00:11:00;0,18;60;49;9.570;9,57;1;1,299;0,16
10/04/2021;abr;10;sáb;18;DIURNO;32051;02:15:00;2,25;00:35:00;0,58;00:15:00;0,25;23;14;1.470;1,47;1;0,653;0,064
10/04/2021;abr;10;sáb;20;DIURNO;33049;05:55:00;5,92;01:58:00;1,97;00:22:00;0,37;41;54;13.910;13,91;2;2,351;0,339
10/04/2021;abr;10;sáb;3;NOTURNO;32048;06:24:00;6,4;00:48:00;0,8;00:21:00;0,35;43;24;14.530;14,53;2;2,27;0,338
10/04/2021;abr;10;sáb;4;NOTURNO;33024;05:30:00;5,5;00:25:00;0,42;00:05:00;0,08;46;13;10.080;10,08;1;1,833;0,219
10/04/2021;abr;10;sáb;5;NOTURNO;33048;05:05:00;5,08;00:50:00;0,83;00:24:00;0,4;33;21;11.530;11,53;1;2,268;0,349
10/04/2021;abr;10;sáb;7;NOTURNO;31912;05:46:00;5,77;01:37:00;1,62;00:23:00;0,38;35;43;13.040;13,04;2;2,261;0,373
10/04/2021;abr;10;sáb;21;NOTURNO;33049;06:55:00;6,92;01:06:00;1,1;00:19:00;0,32;45;30;12.220;12,22;2;1,767;0,272
11/04/2021;abr;11;dom;8;DIURNO;31912;07:42:00;7,7;01:29:00;1,48;00:25:00;0,42;34;44;14.420;14,42;2;1,873;0,424
11/04/2021;abr;11;dom;10;DIURNO;33048;05:03:00;5,05;00:57:00;0,95;00:30:00;0,5;42;26;13.230;13,23;2;2,62;0,315
11/04/2021;abr;11;dom;12;DIURNO;32049;05:45:00;5,75;01:45:00;1,75;00:25:00;0,42;35;51;14.170;14,17;2;2,464;0,405
